Crowne Plaza Shanghai Pujiang|https://www.ihg.com/crowneplaza/hotels/us/en/shanghai/shgpu/hoteldetail|No. 3701 Chenhang, Minhang District|Shanghai|CN|2017-08-27|https://i.travelapi.com/hotels/19000000/18470000/18467100/18467016/7339a25c_b.jpg|31.09344|121.48917|717755
Hôtel de Crillon A Rosewood Hotel|https://www.rosewoodhotels.com/en/hotel-de-crillon|10 Place de la Concorde|Paris|FR|2017-07-01|https://i.travelapi.com/hotels/1000000/30000/26100/26025/222f723e_b.jpg|48.86771|2.32112|112507
DoubleTree by Hilton Okinawa Chatan Resort|https://doubletree3.hilton.com/en/hotels/japan/doubletree-by-hilton-okinawa-chatan-resort-OKADIDI/index.html|43 Mihama|Chatan|JP|2018-09-01|https://i.travelapi.com/hotels/23000000/22170000/22166200/22166183/16659c9f_b.jpg|26.31778|127.75393|811865
The DoubleTree by Hilton Stratford-upon-Avon|https://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-stratford-upon-avon-BHXSADI/index.html|Arden Street|Stratford-upon-Avon|GB|2018-08-01|https://i.travelapi.com/hotels/1000000/570000/565800/565713/877bb7f1_b.jpg|52.19381|-1.71232|180147
DoubleTree by Hilton Wellington|https://doubletree3.hilton.com/en/hotels/new-zealand/doubletree-by-hilton-wellington-WLGNTDI/index.html|Corner of Lambton Quay and Grey Street|Wellington|NZ|2018-09-01|https://i.travelapi.com/hotels/20000000/19860000/19858900/19858858/b5b6e6f6_b.jpg|-41.28415|174.77569|771042
Eden Rock Resort|https://www.oetkercollection.com/hotels/eden-rock-st-barths/|Via Clemente Biondetti 7|Florence|IT|2020-01-01|https://i.travelapi.com/hotels/2000000/1730000/1723300/1723244/9b07c237_b.jpg|43.81276|11.28353|297407
Elizabeth Unique Hotel - A Member of Design Hotels|http://www.ehrome.com/en/|Via delle Colonnette 35|Rome|IT|2018-04-01|https://i.travelapi.com/hotels/22000000/21770000/21766300/21766247/061835da_b.jpg|41.90713|12.47721|810261
Emerald Palace Kempinski Dubai|https://www.kempinski.com/en/dubai/emerald-palace-kempinski-dubai/|Crescent west Palm Jumeirah|Dubai|AE|2019-01-15|https://i.travelapi.com/hotels/22000000/21170000/21161700/21161688/41be99b7_b.jpg|25.11062|55.10948|999831
Estudio Playa Mujeres by Atelier de Hoteles All Inclusive|https://atelierdehoteles.com/estudio-playa-mujeres/|Prolongacion Bonampak S/N Mz1|Playa Mujeres|MX|2019-01-15|https://i.travelapi.com/hotels/38000000/37300000/37299100/37299077/5775426d_b.jpg|21.25397|-86.8141|2137937
Fabric Hotel - An Atlas Boutique Hotel|https://www.atlas.co.il/fabric-hotel-tel-aviv|28, Nahalat Benyamin|Tel Aviv|IL|2018-06-01|https://i.travelapi.com/hotels/26000000/25180000/25178800/25178756/26525e6b_b.jpg|32.06576|34.77056|946604
