#NAME,OPEN_DATE,URL,
Hyatt Regency Aqaba Ayla Resort,2018-10-01,https://www.hyatt.com/en-US/hotel/jordan/hyatt-regency-aqaba-ayla-resort/aqjra,
Hyatt Regency Aruba Resort Spa & Casino,2018-09-01,https://www.hyatt.com/en-US/hotel/aruba/hyatt-regency-aruba-resort-spa-and-casino/aruba,
Hyatt Regency Beijing Wangjing,2018-05-01,https://beijingwangjing.regency.hyatt.com/en/hotel/home.html,
Hyatt Regency Seragaki Island Okinawa,2018-08-01,https://seragakiokinawa.regency.hyatt.com/en/hotel/home.html,
Hyatt Regency Shanghai Jiading,2018-08-01,https://www.hyatt.com/en-US/hotel/china/hyatt-regency-shanghai-jiading/sharj,
Hyatt Regency Xuzhou,2018-10-01,https://www.hyatt.com/en-US/hotel/china/hyatt-regency-xuzhou/xuzrx,
Hyatt Regency Zhenjiang,2018-06-01,https://www.hyatt.com/en-US/hotel/china/hyatt-regency-zhenjiang/czxrz,
Hyatt Zilara Cap Cana,2019-10-01,https://www.hyatt.com/en-US/hotel/dominican-republic/hyatt-zilara-cap-cana/pujia,
Iberostar Selection Ba?varo,2020-01-01,https://www.iberostar.com/en/hotels/punta-cana/iberostar-bavaro/,Y
Iberostar Selection Kuriat Palace,2019-07-01,https://www.iberostar.com/en/hotels/monastir/iberostar-kuriat-palace/,
IKADOR LUXURY BOUTIQUE HOTEL & SPA,2019-05-01,https://www.lhw.com/hotel/Ikador-Lxury-Boutique-Hotel-Spa-Ika-Opatija-Croatia,
Il Tornabuoni,2020-06-15,https://www.iltornabuonihotel.it/en/index.html,
"Indura Beach & Golf Resort, Curio Collection by Hilton",2017-05-01,http://curiocollection3.hilton.com/en/hotels/honduras/indura-beach-and-golf-resort-curio-collection-by-hilton-TEAIBQQ/index.html,
InterContinental Fujairah Resort,2018-09-01,https://www.ihg.com/intercontinental/hotels/us/en/fujairah/fjrae/hoteldetail,
InterContinental Hayman Island Resort,2019-07-01,https://www.ihg.com/intercontinental/hotels/us/en/hayman-island/hisha/hoteldetail,
InterContinental Lyon—Hotel Dieu,2019-06-01,https://www.ihg.com/intercontinental/hotels/us/en/lyon/lysha/hoteldetail,
InterContinental Phu Quoc Long Beach Resort,2018-06-01,https://www.ihg.com/intercontinental/hotels/us/en/phu-quoc/pqccp/hoteldetail,
InterContinental Shanghai Wonderland,2018-12-30,https://www.ihg.com/intercontinental/hotels/us/en/shanghai/shghe/hoteldetail,
INTERCONTINENTAL SOFIA,2018-03-22,https://www.ihg.com/intercontinental/hotels/gb/en/sofia/sofco/hoteldetail#scmisc=nav_hoteldetail_ic,
INTERCONTINENTAL TAIYUAN,2018-02-02,https://www.ihg.com/intercontinental/hotels/gb/en/taiyuan/tynha/hoteldetail,
Iraph Sui in Miyako Okinawa,2019-01-15,https://www.marriott.com/hotels/travel/okalc-iraph-sui-a-luxury-collection-hotel-miyako-okinawa/,
ITC Grand Goa Resort and Spa,2018-09-01,https://www.marriott.com/hotels/travel/goilc-itc-grand-goa-a-luxury-collection-resort-and-spa-goa/,
J.K. Place Paris,2020-01-01,http://jkplaces.com/it/jkparis.php,
Jackalope Hotel,2017-09-01,https://www.jackalopehotels.com/,
Jinmao Hotel Lijiang,2018-05-01,https://jinmaolijiang.hyatt.com/en/hotel/home.html,
Juana Bautista,2020-01-01,https://www.juanabautista.com/,
Jumeirah Royal Saray,2018-03-01,https://www.jumeirah.com/en/hotels-resorts/bahrain/jumeirah-royal-saray/,
Jumeirah Saadiyat Island Resort,2018-11-01,https://www.jumeirah.com/en/hotels-resorts/abu-dhabi/jumeirah-at-saadiyat-island-resort/,
JW Marriott Hotel Chengdu,2017-09-01,http://www.marriott.com/hotels/travel/ctumj-jw-marriott-hotel-chengdu/,
JW Marriott Hotel Kolkata,2017-12-01,http://www.marriott.com/hotels/travel/ccujw-jw-marriott-hotel-kolkata/,
JW Marriott Hotel Singapore South Beach,2017-07-01,http://www.marriott.com/hotels/travel/sinjw-jw-marriott-hotel-singapore-south-beach/,
JW Marriott Hotel Zhejiang Anji,2017-07-01,http://www.marriott.com/hotels/travel/hghaj-jw-marriott-hotel-zhejiang-anji/,
JW Marriott Jaipur Resort & Spa,2018-03-01,https://www.marriott.com/hotels/travel/jainh-jw-marriott-jaipur-resort-and-spa/,
JW Marriott Los Cabos Beach Resort,2017-09-01,http://www.marriott.com/hotels/travel/sjdjw-jw-marriott-los-cabos-beach-resort-and-spa/,
JW Marriott Marquis Hotel Shanghai Pudong,2020-01-01,https://www.marriott.com/hotels/travel/shamj-jw-marriott-marquis-hotel-shanghai-pudong/,
JW Marriott Mussoorie Walnut Grove Resort,2017-09-01,http://www.marriott.com/hotels/travel/dedjw-jw-marriott-mussoorie-walnut-grove-resort-and-spa/,
JW Marriott Phu Quoc Emerald Bay Resort,2017-09-01,http://www.marriott.com/hotels/travel/pqcjw-jw-marriott-phu-quoc-emerald-bay-resort-and-spa/,
JW Marriott Venice Resort & Spa,2017-06-01,http://www.marriott.com/hotels/travel/vcejw-jw-marriott-venice-resort-and-spa/,
Kachi Lodge,2020-01-01,https://www.kachilodge.com/en,
Kasa Hotel Riviera Maya,2019-06-01,https://www.kasahotelrivieramaya.com/,
Kempinski Hotel Bahia,2018-05-01,https://www.kempinski.com/en/marbella/hotel-bahia/,
Kempinski Hotel Muscat,2018-04-01,https://www.kempinski.com/en/muscat/kempinski-hotel-muscat/,
Kimpton Blythswood Square Hotel,2019-10-01,https://www.kimptonblythswoodsquare.com/us/en/,
Kimpton Charlotte Square Hotel,2019-10-01,https://www.kimptoncharlottesquare.com/us/en/,
Kimpton Da An,2019-10-01,https://www.ihg.com/kimptonhotels/hotels/us/en/da-an-hotel-taipei/tpekm/hoteldetail,
Kimpton De Witt,2018-01-01,http://www.kimptondewitthotel.com/us/en/,
Kimpton Fitzroy London,2019-10-01,https://www.kimptonfitzroylondon.com/us/en/,
Kimpton Fitzroy London Hotel,2019-02-01,https://www.kimptonfitzroylondon.com/us/en/,
Kimpton Vividora Hotel,2020-02-15,https://www.kimptonvividorahotel.com/us/en/,
King Lewanika Lodge,2017-10-01,https://timeandtideafrica.com/camp/king-lewanika-lodge,
Kirkton Park Hotel Hunter Valley,2017-07-01,http://www.kirktonparkhuntervalley.com.au/,
Kisawa Sanctuary,2020-06-01,https://kisawasanctuary.com/,
"KOI Resort Saint Kitts, Curio Collection by Hilton",2020-01-01,https://curiocollection3.hilton.com/en/hotels/saint-kitts-and-nevis-anguilla/koi-resort-saint-kitts-curio-collection-by-hilton-SKBKRQQ/index.html,
Kudadoo Maldives Private Island by Hurawalhi,2018-08-01,https://www.kudadoo.com/,
"Kyukaruizawa Kikyo, Curio Collection by Hilton",2018-04-19,http://curiocollection3.hilton.com/en/hotels/japan/kyukaruizawa-kikyo-curio-collection-by-hilton-MMJKZQQ/index.html,
"La Bagnaia Golf & Spa Resort Siena, Curio Collection by Hilton",2017-06-01,http://curiocollection3.hilton.com/en/hotels/italy/la-bagnaia-golf-and-spa-resort-siena-curio-collection-by-hilton-SAYLBQQ/index.html,
La Finca Victoria,2020-01-01,https://www.lafinca.com/,
Le Mas Candille,2018-07-01,https://www.lemascandille.com/,
Le Meridien Batumi,2018-09-01,http://www.starwoodhotels.com/lemeridien/property/overview/index.html?language=en_US&propertyID=4386,
Le Meridien Shenyang,2017-11-28,http://www.starwoodhotels.com/lemeridien/property/overview/index.html?language=en_US&propertyID=3797,
Le Meridien Suzhou,2017-10-01,http://www.starwoodhotels.com/lemeridien/property/overview/index.html?language=en_US&propertyID=4054,
Le Meridien Xian,2017-11-24,http://www.starwoodhotels.com/lemeridien/property/overview/index.html?language=en_US&propertyID=4761,
Le Meridien Zhongshan,2018-06-30,http://www.starwoodhotels.com/lemeridien/property/overview/index.html?language=en_US&propertyID=4218,
LE RELAIS DE CHAMBORD,2018-02-01,https://www.slh.com/hotels/le-relais-de-chambord/,
"Legend Hotel Lagos Airport, Curio Collection by Hilton",2018-08-01,https://curiocollection3.hilton.com/en/hotels/nigeria/legend-hotel-lagos-airport-curio-collection-by-hilton-LOSLHQQ/index.html,
LEKKERWATER BEACH LODGE,2019-05-01,https://naturalselection.travel/camps/lekkerwater-beach-lodge-at-de-hoop/,
Lekkerwater Beach Lodge,2020-01-01,https://naturalselection.travel/camps/lekkerwater-beach-lodge-at-de-hoop/,
"Les Chalets du Mont d'Arbois, Megève, A Four Seasons Hotel",2019-06-01,https://www.fourseasons.com/megevechalets/,
Lily of the Valley,2020-04-25,https://www.lilyofthevalley.com/,
"Lushan West Sea Resort, Curio Collection by Hilton",2019-09-01,https://curiocollection3.hilton.com/en/hotels/china/lushan-west-sea-resort-curio-collection-by-hilton-KHNLSQQ/index.html,
Lympstone Manor,2017-10-01,https://lympstonemanor.co.uk/,
MACq 01 Hotel,2018-08-01,http://www.macq01.com.au/,
Magashi ,2020-01-01,https://wilderness-safaris.com/our-camps/camps/magashi,
Mahogany Bay Resort & Beach Club,2018-02-01,http://curiocollection3.hilton.com/en/hotels/belize/mahogany-bay-resort-and-beach-club-curio-collection-by-hilton-TZAMBQQ/index.html,
"Maison Astor Paris, Curio Collection by Hilton",2018-04-20,http://curiocollection3.hilton.com/en/hotels/france/maison-astor-paris-curio-collection-by-hilton-PARAHQQ/index.html,
Manapany,2018-06-01,https://hotelmanapany-stbarth.com/,
Mandarin Oriental Canouan,2017-11-01,https://www.mandarinoriental.com/canouan/pink-sand-beach/luxury-hotel,
"Mandarin Oriental, Doha",2020-01-01,https://www.mandarinoriental.com/doha/msheireb/luxury-hotel,
Margaritaville Beach Resort Playa Flamingo,2018-09-01,https://www.margaritavillebeachresortcostarica.com/,
